Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],"Population, total [SP.POP.TOTL]"
Australia,AUS,2000,YR2000,416167815092.908,3.9215029305806,5681.22885913159,19028802
Australia,AUS,2001,YR2001,379629301675.108,2.02510553454593,5486.39455905443,19274701
Australia,AUS,2002,YR2002,395788696012.059,3.97958568067362,5480.23464289818,19495210
Australia,AUS,2003,YR2003,467739079790.332,3.09076190489348,5615.57675632995,19720737
Australia,AUS,2004,YR2004,614659980082.515,4.22428481359962,5652.13037917952,19932722
Australia,AUS,2005,YR2005,695692898676.56,3.15416753184221,5624.49561264785,20176844
Australia,AUS,2006,YR2006,748417562769.636,2.75534610557227,5775.11675226564,20450966
Australia,AUS,2007,YR2007,855007458585.224,3.77332171303566,5853.76413229662,20827622
Australia,AUS,2008,YR2008,1056112427190.38,3.58626695226046,5951.19291532561,21249199
Australia,AUS,2009,YR2009,928762122698.05,1.89255581922549,5843.93312947132,21691653
Australia,AUS,2010,YR2010,1148838233480.72,2.21998026536549,5762.9435664152,22031750
Australia,AUS,2011,YR2011,1398610616772.97,2.40708018291988,5698.65597309349,22340024
Australia,AUS,2012,YR2012,1547532281116.4,3.91670942454073,5533.72233837943,22733465
Australia,AUS,2013,YR2013,1577123329410.88,2.60219339436559,5533.38146350965,23128129
Australia,AUS,2014,YR2014,1468265356427.76,2.59528411594042,5407.4382264583,23475686
Australia,AUS,2015,YR2015,1351296372254.31,2.19016928695221,5318.66679266228,23815995
Australia,AUS,2016,YR2016,1206836962281.84,2.7593859723839,5216.98867184459,24190907
Australia,AUS,2017,YR2017,1325582658156.54,2.27959179820343,5323.92858334601,24592588
Australia,AUS,2018,YR2018,1427809041019.44,2.87846971467883,5282.20664251934,24963258
Australia,AUS,2019,YR2019,1392723834562.64,2.17154505737176,5295.87164421938,25334826
Australia,AUS,2020,YR2020,1328414058378.38,-0.119590735829973,5229.062652917,25649248
Australia,AUS,2021,YR2021,1556735770437.26,2.11116814768786,5070.76722733807,25685412
Australia,AUS,2022,YR2022,1690858246994.43,4.24238555336139,4889.62127856192,26014399
Australia,AUS,2023,YR2023,1728057316695.61,3.44199220009025,5078.21828362275,26652777
Australia,AUS,2024,YR2024,1752193307380.34,1.4311125201703,..,27204809
Brazil,BRA,2000,YR2000,655448231983.527,4.38794944745618,1081.36193393467,174018282
Brazil,BRA,2001,YR2001,559983634798.981,1.38989640095637,1086.99299318566,176301203
Brazil,BRA,2002,YR2002,509795273806.715,3.05346185909312,1103.40127916211,178503484
Brazil,BRA,2003,YR2003,558233745651.874,1.14082899824888,1107.9739157885,180622688
Brazil,BRA,2004,YR2004,669289424806.307,5.75996463670954,1157.16905577095,182675143
Brazil,BRA,2005,YR2005,891633839894.183,3.20213206130431,1173.71585743449,184688101
Brazil,BRA,2006,YR2006,1107626541434.92,3.96198871122617,1202.05933940304,186653106
Brazil,BRA,2007,YR2007,1397114486368.67,6.06987060678338,1257.18369855417,188552320
Brazil,BRA,2008,YR2008,1695855083497.52,5.09419544658736,1314.44467157094,190367302
Brazil,BRA,2009,YR2009,1666996438581.43,-0.125812002161169,1258.83931042818,192079951
Brazil,BRA,2010,YR2010,2208837745100.55,7.52822581815364,1381.00123628752,193701929
Brazil,BRA,2011,YR2011,2616156223917.69,3.97442307944702,1386.56123964361,195284734
Brazil,BRA,2012,YR2012,2465227802806.76,1.92117598576537,1429.55235018298,196876111
Brazil,BRA,2013,YR2013,2472819535557.21,3.00482266944432,1483.68231791026,198478299
Brazil,BRA,2014,YR2014,2456043727198.85,0.503955740242247,1517.77055485822,200085127
Brazil,BRA,2015,YR2015,1802212206814.5,-3.54576339269425,1477.71135638764,201675532
Brazil,BRA,2016,YR2016,1795693482853.01,-3.27591690782192,1411.50090973164,203218114
Brazil,BRA,2017,YR2017,2063514977365.65,1.32286905404399,1428.63671291905,204703445
Brazil,BRA,2018,YR2018,1916933898010.99,1.783666761634,1400.2173612336,206107261
Brazil,BRA,2019,YR2019,1873288205059.69,1.22077782360842,1412.60729823853,207455459
Brazil,BRA,2020,YR2020,1476107231310.49,-3.2767587964736,1375.83163242979,208660842
Brazil,BRA,2021,YR2021,1670647398904.9,4.76260437908608,1426.92356611297,209550294
Brazil,BRA,2022,YR2022,1951923942083.32,3.01669435393015,1428.99253421834,210306415
Brazil,BRA,2023,YR2023,2191131765684.63,3.24165532906981,1477.28505055306,211140729
Brazil,BRA,2024,YR2024,2179412080828.59,3.39586645454844,..,211998573
China,CHN,2000,YR2000,1223754919971.05,8.58643201808462,897.492022576956,1262645000
China,CHN,2001,YR2001,1355036590251.52,8.31263887091522,920.526583305115,1271850000
China,CHN,2002,YR2002,1489821682050.54,9.24339326638321,972.216999100476,1280400000
China,CHN,2003,YR2003,1683903309843.85,10.1181928640117,1101.68272310248,1288400000
China,CHN,2004,YR2004,1984196551300.44,10.1314073631003,1246.88524780915,1296075000
China,CHN,2005,YR2005,2317551298052.05,11.458238455067,1366.34738144686,1303720000
China,CHN,2006,YR2006,2791498472804.33,12.6746751655235,1486.39617489664,1311020000
China,CHN,2007,YR2007,3604055822571.63,14.1499854947127,1591.57830388843,1317885000
China,CHN,2008,YR2008,4667346414521.95,9.67024588602851,1626.04808980232,1324655000
China,CHN,2009,YR2009,5189577094997.58,9.40269972778044,1725.32642300052,1331260000
China,CHN,2010,YR2010,6192564874453.29,10.5962719761682,1895.95046239566,1337705000
China,CHN,2011,YR2011,7671757207851.29,9.4613358870736,2023.72470452,1345035000
China,CHN,2012,YR2012,8673664713189.24,7.85617427055587,2082.18610350339,1354190000
China,CHN,2013,YR2013,9743124247267.24,7.77872409446717,2134.95604987416,1363240000
China,CHN,2014,YR2014,10674533168257.4,7.46190028229434,2175.39434497632,1371860000
China,CHN,2015,YR2015,11280814787468.9,6.97878002657477,2172.63043957296,1379860000
China,CHN,2016,YR2016,11456024084962,6.77555562837017,2147.5478242754,1387790000
China,CHN,2017,YR2017,12537559062282.9,6.8912663621211,2214.86726749259,1396215000
China,CHN,2018,YR2018,14147765772963.8,6.75671800166833,2310.14470066159,1402760000
China,CHN,2019,YR2019,14560167101283.4,6.06850235053705,2403.41507353211,1407745000
China,CHN,2020,YR2020,14996414166715.1,2.34018843078414,2472.54314843967,1411100000
China,CHN,2021,YR2021,18201698719564,8.57008513166322,2634.35668162948,1412360000
China,CHN,2022,YR2022,18316765021690.2,3.1341888719577,2690.56034893867,1412175000
China,CHN,2023,YR2023,18270356654533.2,5.41484330099675,..,1410710000
China,CHN,2024,YR2024,18743803170827.2,4.9773565917572,..,1408975000
Germany,DEU,2000,YR2000,1966980701145.1,2.87724595591061,4094.27901518469,82211508
Germany,DEU,2001,YR2001,1966381496641.73,1.63654099437316,4210.00080103251,82349925
Germany,DEU,2002,YR2002,2102350798305.89,-0.228310223930706,4108.61729515583,82488495
Germany,DEU,2003,YR2003,2534715518349.01,-0.529929010433477,4096.47794323132,82534176
Germany,DEU,2004,YR2004,2852317768061.78,1.16236825444811,4131.61083697,82516260
Germany,DEU,2005,YR2005,2893393187361.87,0.885697256705441,4109.8805864045,82469422
Germany,DEU,2006,YR2006,3046308753670.58,3.85573614635729,4235.93876578004,82376451
Germany,DEU,2007,YR2007,3484056680854.91,2.89010717888073,4023.73935857078,82266372
Germany,DEU,2008,YR2008,3808786022312.5,0.910403214153277,4081.87998694017,82110097
Germany,DEU,2009,YR2009,3479800820863.28,-5.54516454479311,3821.62500577239,81902307
Germany,DEU,2010,YR2010,3468154343000.01,4.14676755040489,4029.83085754355,81776930
Germany,DEU,2011,YR2011,3824828563521.41,3.75796884487347,3891.87175356307,80274983
Germany,DEU,2012,YR2012,3597896500945.31,0.47429132103845,3913.43920397127,80425823
Germany,DEU,2013,YR2013,3808086291482.36,0.386224592046474,3986.18505186393,80645605
Germany,DEU,2014,YR2014,3965800686309.79,2.16949889758517,3794.44720253102,80982500
Germany,DEU,2015,YR2015,3423568450957.03,1.65271978656361,3780.85027551891,81686611
Germany,DEU,2016,YR2016,3537784107980.55,2.29471066413561,3765.21799936242,82348669
Germany,DEU,2017,YR2017,3763092263752.95,2.71602454639843,3763.19404182465,82657002
Germany,DEU,2018,YR2018,4052008447223.53,1.11644310902427,3659.22924485198,82905782
Germany,DEU,2019,YR2019,3957208055215.68,0.987893350164853,3570.88159282488,83092962
Germany,DEU,2020,YR2020,3940142541354.1,-4.09513751682526,3349.19012313459,83160871
Germany,DEU,2021,YR2021,4348297440387.53,3.6699998840452,3466.91774472334,83196078
Germany,DEU,2022,YR2022,4163596357879.39,1.36973104612758,3236.72845177468,83797985
Germany,DEU,2023,YR2023,4525703903627.53,-0.266438401180253,2925.37271970833,83901923
Germany,DEU,2024,YR2024,4659929336890.62,-0.238526858256165,..,83510950
India,IND,2000,YR2000,468395521654.458,3.84099115659129,394.98401446213,1057922733
India,IND,2001,YR2001,485440139204.171,4.82396626555771,393.447140041734,1077898575
India,IND,2002,YR2002,514939140318.756,3.80397532112175,397.345623867375,1097600380
India,IND,2003,YR2003,607700687237.318,7.8603814759073,399.700175164457,1116803006
